Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Volkswagen,GTI,2012,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,27375
Volkswagen,GLI,2012,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,26695
Volkswagen,GLI,2012,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,26695
Volkswagen,GLI,2012,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,25795
Volkswagen,GLI,2012,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,25795
Volkswagen,GTI,2012,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,25695
Volkswagen,GTI,2012,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,25695
Volkswagen,GTI,2012,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,25095
Volkswagen,GTI,2012,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,25095
Volkswagen,GLI,2012,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,23745
Volkswagen,GLI,2012,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,23745
Volkswagen,Jetta SportWagen,2012,regular unleaded,170,5,MANUAL,front wheel drive,4,N/A,Compact,Wagon,33,23,873,20195
Volkswagen,Jetta SportWagen,2012,regular unleaded,170,5,MANUAL,front wheel drive,4,N/A,Compact,Wagon,33,23,873,20195
Scion,xD,2012,regular unleaded,128,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,17050
Scion,xD,2012,regular unleaded,128,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,16250
Scion,xD,2012,regular unleaded,128,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,16145
Suzuki,SX4,2012,regular unleaded,150,4,MANUAL,front wheel drive,4,N/A,Compact,Sedan,33,23,481,15495
Scion,xD,2012,regular unleaded,128,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,15345
Suzuki,SX4,2012,regular unleaded,150,4,MANUAL,front wheel drive,4,N/A,Compact,Sedan,33,23,481,13699
Mercedes-Benz,GLK-Class,2013,diesel,200,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Diesel",Midsize,4dr SUV,33,24,617,38590
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,32095
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,32095
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,31495
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,31495
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,30795
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,30795
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,29895
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,29895
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,29295
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,29295
Volkswagen,Jetta GLI,2013,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,28425
Volkswagen,Jetta GLI,2013,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,28425
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,28395
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,28395
Volkswagen,Jetta GLI,2013,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,28200
Volkswagen,Jetta GLI,2013,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,28200
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,27895
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,27895
Volkswagen,Jetta GLI,2013,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,26420
Volkswagen,Jetta GLI,2013,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,26420
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,26195
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,26195
Volkswagen,Jetta GLI,2013,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,26195
Volkswagen,Jetta GLI,2013,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,26195
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,25895
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,25895
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,25300
Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,25300
Subaru,XV Crosstrek,2013,regular unleaded,148,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,33,25,640,24495
Volkswagen,Jetta GLI,2013,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,24170
Volkswagen,Jetta GLI,2013,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,24170
Volkswagen,Jetta GLI,2013,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,23945
Volkswagen,Jetta GLI,2013,premium unleaded (recommended),200,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,23945
Subaru,XV Crosstrek,2013,regular unleaded,148,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,33,25,640,22995
Volkswagen,Jetta SportWagen,2013,regular unleaded,170,5,MANUAL,front wheel drive,4,N/A,Compact,Wagon,33,23,873,20595
Volkswagen,Jetta SportWagen,2013,regular unleaded,170,5,MANUAL,front wheel drive,4,N/A,Compact,Wagon,33,23,873,20595
Scion,xD,2013,regular unleaded,128,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,18955
Scion,xD,2013,regular unleaded,128,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,18155
Scion,xD,2013,regular unleaded,128,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,16545
Suzuki,SX4,2013,regular unleaded,150,4,MANUAL,front wheel drive,4,N/A,Compact,Sedan,33,23,481,15845
Scion,xD,2013,regular unleaded,128,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,15745
Mercedes-Benz,GLK-Class,2014,diesel,200,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Diesel",Midsize,4dr SUV,33,24,617,38980
Volkswagen,GTI,2014,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,30795
Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,23,873,29775
Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,23,873,29775
Subaru,XV Crosstrek,2014,regular unleaded,160,4,AUTOMATIC,all wheel drive,4,"Crossover,Hybrid",Compact,4dr SUV,33,29,640,29295
Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,23,873,28855
Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,23,873,28855
Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,23,873,27455
Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,23,873,27455
Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,23,873,26825
Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,23,873,26825
Volkswagen,GTI,2014,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,26195
Subaru,XV Crosstrek,2014,regular unleaded,160,4,AUTOMATIC,all wheel drive,4,"Crossover,Hybrid",Compact,4dr SUV,33,29,640,25995
Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,23,873,24535
Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,23,873,24535
Subaru,XV Crosstrek,2014,regular unleaded,148,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,33,25,640,24495
Subaru,XV Crosstrek,2014,regular unleaded,148,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,33,25,640,22995
Hyundai,Veloster,2014,regular unleaded,201,4,MANUAL,front wheel drive,3,"Hatchback,Performance",Compact,2dr Hatchback,33,24,1439,22300
Hyundai,Veloster,2014,regular unleaded,201,4,MANUAL,front wheel drive,3,"Hatchback,Performance",Compact,2dr Hatchback,33,24,1439,22300
Hyundai,Veloster,2014,regular unleaded,201,4,MANUAL,front wheel drive,3,"Hatchback,Performance",Compact,2dr Hatchback,33,24,1439,21300
Dodge,Dart,2014,regular unleaded,184,4,MANUAL,front wheel drive,4,N/A,Midsize,Sedan,33,23,1851,20995
Volkswagen,Jetta SportWagen,2014,regular unleaded,170,5,MANUAL,front wheel drive,4,N/A,Compact,Wagon,33,23,873,20995
Volkswagen,Jetta SportWagen,2014,regular unleaded,170,5,MANUAL,front wheel drive,4,N/A,Compact,Wagon,33,23,873,20995
Scion,xD,2014,regular unleaded,128,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,16720
Scion,xD,2014,regular unleaded,128,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,15920
BMW,5 Series,2015,premium unleaded (required),241,4,AUTOMATIC,all wheel drive,4,Luxury,Large,Sedan,33,22,3916,52250
BMW,4 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Convertible,33,21,3916,50750
BMW,4 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Convertible,33,21,3916,50750
BMW,3 Series,2015,premium unleaded (required),335,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance,Hybrid",Midsize,Sedan,33,25,3916,50150
Audi,A6,2015,premium unleaded (recommended),220,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,33,25,3105,48350
Lincoln,MKZ,2015,regular unleaded,231,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,33,22,61,45555
Audi,A6,2015,premium unleaded (recommended),220,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,33,25,3105,44800
BMW,4 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Coupe,33,22,3916,42750
BMW,4 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Coupe,33,22,3916,42750
BMW,4 Series Gran Coupe,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22,3916,42300
BMW,4 Series Gran Coupe,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22,3916,42300
BMW,3 Series,2015,premium unleaded (required),241,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,33,22,3916,41950
BMW,3 Series Gran Turismo,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916,41850
BMW,3 Series Gran Turismo,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916,41850
Audi,A3,2015,premium unleaded (recommended),220,4,AUTOMATED_MANUAL,all wheel drive,4,Luxury,Compact,Sedan,33,24,3105,41650
BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22,3916,39500
BMW,3 Series,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22,3916,39500
Mercedes-Benz,GLK-Class,2015,diesel,200,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Diesel",Midsize,4dr SUV,33,24,617,39400
Audi,A3,2015,premium unleaded (recommended),170,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,Sedan,33,23,3105,38350
Cadillac,ATS,2015,regular unleaded,202,4,AUTOMATIC,rear wheel drive,4,Luxury,Compact,Sedan,33,21,1624,37340
Audi,A3,2015,premium unleaded (recommended),220,4,AUTOMATED_MANUAL,all wheel drive,4,Luxury,Compact,Sedan,33,24,3105,35750
Lincoln,MKZ,2015,regular unleaded,231,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,33,22,61,35190
Cadillac,ATS,2015,regular unleaded,202,4,AUTOMATIC,rear wheel drive,4,Luxury,Compact,Sedan,33,21,1624,33215
Audi,A3,2015,premium unleaded (recommended),220,4,AUTOMATED_MANUAL,all wheel drive,4,Luxury,Compact,Sedan,33,24,3105,33200
Honda,CR-V,2015,regular unleaded,185,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,33,26,2202,32895
Volkswagen,Golf GTI,2015,premium unleaded (recommended),220,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,25,873,32640
Audi,A3,2015,premium unleaded (recommended),170,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,Sedan,33,23,3105,32450
Volkswagen,Golf GTI,2015,premium unleaded (recommended),210,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,25,873,31145
Volkswagen,Golf GTI,2015,premium unleaded (recommended),220,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,25,873,30980
Honda,CR-V,2015,regular unleaded,185,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,33,26,2202,30895
Ford,Fusion,2015,regular unleaded,231,4,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,33,22,5657,30780
Volkswagen,Golf GTI,2015,premium unleaded (recommended),220,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,25,873,30380
Subaru,Outback,2015,regular unleaded,175,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,33,25,640,30295
Subaru,Outback,2015,regular unleaded,175,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,33,25,640,29995
Audi,A3,2015,premium unleaded (recommended),170,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,Sedan,33,23,3105,29900
Volkswagen,Golf GTI,2015,premium unleaded (recommended),210,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,25,873,29485
Buick,Encore,2015,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,29435
Honda,CR-V,2015,regular unleaded,185,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,33,26,2202,29395
Volkswagen,Jetta,2015,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,"Factory Tuner,Performance",Midsize,Sedan,33,23,873,29280
Volkswagen,Jetta,2015,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,"Factory Tuner,Performance",Midsize,Sedan,33,23,873,29280
Volkswagen,Golf GTI,2015,premium unleaded (recommended),210,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,25,873,28885
Nissan,Rogue,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,33,26,2009,28280
Volkswagen,Golf GTI,2015,premium unleaded (recommended),220,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,25,873,27980
Buick,Encore,2015,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,27950
Volkswagen,Golf GTI,2015,premium unleaded (recommended),220,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,25,873,27380
Subaru,Outback,2015,regular unleaded,175,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,33,25,640,27295
Subaru,Outback,2015,regular unleaded,175,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,33,25,640,26995
Volkswagen,Beetle,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25,873,26985
Volkswagen,Beetle,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25,873,26985
Volkswagen,Jetta,2015,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,"Factory Tuner,Performance",Midsize,Sedan,33,23,873,26920
Volkswagen,Jetta,2015,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,"Factory Tuner,Performance",Midsize,Sedan,33,23,873,26920
Honda,CR-V,2015,regular unleaded,185,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,33,26,2202,26795
Volkswagen,Golf GTI,2015,premium unleaded (recommended),210,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,25,873,26485
Volkswagen,Beetle,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25,873,26195
Volkswagen,Beetle,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25,873,26195
Buick,Encore,2015,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,26155
Volkswagen,Beetle,2015,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,25885
Volkswagen,Beetle,2015,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,25885
Volkswagen,Golf GTI,2015,premium unleaded (recommended),210,4,AUTOMATED_MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,33,25,873,25885
Subaru,Outback,2015,regular unleaded,175,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,33,25,640,25195
Volkswagen,Beetle,2015,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,25095
Volkswagen,Beetle,2015,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,25095
Subaru,Outback,2015,regular unleaded,175,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,33,25,640,24895
Volkswagen,Beetle,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25,873,24705
Volkswagen,Beetle,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25,873,24705
Honda,CR-V,2015,regular unleaded,185,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,33,26,2202,24695
Nissan,Rogue,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,33,26,2009,24490
Volkswagen,Beetle,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25,873,24185
Volkswagen,Beetle,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25,873,24185
Buick,Encore,2015,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,155,24065
Volkswagen,Beetle,2015,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,23605
Volkswagen,Beetle,2015,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,23605
FIAT,500L,2015,premium unleaded (recommended),160,4,MANUAL,front wheel drive,4,N/A,Compact,Wagon,33,25,819,23095
Volkswagen,Beetle,2015,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,23085
Volkswagen,Beetle,2015,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,23085
Nissan,Rogue,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,33,26,2009,23040
Nissan,Rogue,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,33,26,2009,22790
Hyundai,Veloster,2015,regular unleaded,201,4,MANUAL,front wheel drive,3,"Hatchback,Performance",Compact,2dr Hatchback,33,24,1439,22600
Chevrolet,Sonic,2015,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,25,1385,21945
Volkswagen,Beetle,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25,873,21795
Volkswagen,Beetle,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25,873,21795
FIAT,500L,2015,premium unleaded (recommended),160,4,MANUAL,front wheel drive,4,N/A,Compact,Wagon,33,25,819,21695
Dodge,Dart,2015,regular unleaded,184,4,MANUAL,front wheel drive,4,N/A,Midsize,Sedan,33,23,1851,21645
Hyundai,Veloster,2015,regular unleaded,201,4,MANUAL,front wheel drive,3,"Hatchback,Performance",Compact,2dr Hatchback,33,24,1439,21600
Chevrolet,Sonic,2015,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,N/A,Compact,Sedan,33,25,1385,21345
Subaru,Impreza,2015,regular unleaded,148,4,MANUAL,all wheel drive,4,Hatchback,Compact,4dr Hatchback,33,24,640,20995
Volkswagen,Beetle,2015,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,20695
Volkswagen,Beetle,2015,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,20695
FIAT,500L,2015,premium unleaded (recommended),160,4,MANUAL,front wheel drive,4,N/A,Compact,Wagon,33,25,819,20695
Volkswagen,Beetle,2015,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25,873,20195
Hyundai,Elantra GT,2015,regular unleaded,173,4,AUTOMATIC,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,1439,19800
Kia,Forte,2015,regular unleaded,173,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,25,1720,19690
FIAT,500L,2015,premium unleaded (recommended),160,4,MANUAL,front wheel drive,4,N/A,Compact,Wagon,33,25,819,19345
Kia,Forte,2015,regular unleaded,173,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,33,24,1720,18590
BMW,4 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Convertible,33,21,3916,52000
BMW,3 Series,2016,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,47800
BMW,3 Series,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,45800
Lexus,GS 200t,2016,premium unleaded (required),241,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,33,22,454,45615
Lincoln,MKZ,2016,regular unleaded,231,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,33,22,61,45605
Volvo,S60,2016,regular unleaded,302,4,AUTOMATIC,front wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,33,23,870,43300
Audi,A3,2016,premium unleaded (recommended),220,4,AUTOMATED_MANUAL,all wheel drive,4,Luxury,Compact,Sedan,33,24,3105,43050
Audi,A3,2016,premium unleaded (recommended),170,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,Sedan,33,23,3105,39750
Volvo,S60,2016,regular unleaded,302,4,AUTOMATIC,front wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,33,23,870,39450
Audi,A3,2016,premium unleaded (recommended),220,4,AUTOMATED_MANUAL,all wheel drive,4,Luxury,Compact,Sedan,33,24,3105,37700
